x_m,y_m,w_tr_right_m,w_tr_left_m
6.64,0.38,0.5701,0.5701
6.69,0.38,0.5852,0.5852
6.74,0.43,0.559,0.559
6.79,0.43,0.5831,0.5831
6.84,0.43,0.5831,0.5831
6.89,0.43,0.559,0.559
6.94,0.48,0.5852,0.5852
6.99,0.53,0.6021,0.6021
7.04,0.58,0.6021,0.6021
7.09,0.63,0.6021,0.6021
7.14,0.68,0.6103,0.6103
7.19,0.73,0.6265,0.6265
7.24,0.78,0.65,0.65
7.24,0.83,0.6265,0.6265
7.24,0.88,0.6042,0.6042
7.24,0.93,0.5852,0.5852
7.29,0.98,0.6185,0.6185
7.29,1.03,0.6083,0.6083
7.29,1.08,0.6021,0.6021
7.29,1.13,0.6,0.6
7.29,1.18,0.6,0.6
7.29,1.23,0.6,0.6
7.34,1.28,0.65,0.65
7.34,1.33,0.65,0.65
7.34,1.38,0.65,0.65
7.34,1.43,0.65,0.65
7.34,1.48,0.65,0.65
7.34,1.53,0.65,0.65
7.29,1.58,0.6185,0.6185
7.29,1.63,0.6325,0.6325
7.29,1.68,0.65,0.65
7.29,1.73,0.6708,0.6708
7.24,1.78,0.65,0.65
7.24,1.83,0.6708,0.6708
7.19,1.88,0.6519,0.6519
7.19,1.93,0.6727,0.6727
7.14,1.98,0.6708,0.6708
7.09,2.03,0.6519,0.6519
7.04,2.08,0.6403,0.6403
6.99,2.13,0.6265,0.6265
6.94,2.13,0.6364,0.6364
6.89,2.18,0.6325,0.6325
6.84,2.23,0.6042,0.6042
6.79,2.28,0.5831,0.5831
6.74,2.28,0.6021,0.6021
6.69,2.33,0.5701,0.5701
6.64,2.38,0.5385,0.5385
6.59,2.38,0.559,0.559
6.54,2.43,0.522,0.522
6.49,2.43,0.5385,0.5385
6.44,2.48,0.5148,0.5148
6.39,2.48,0.5385,0.5385
6.34,2.48,0.5148,0.5148
6.29,2.53,0.522,0.522
6.24,2.53,0.5148,0.5148
6.19,2.58,0.5099,0.5099
6.14,2.58,0.522,0.522
6.09,2.58,0.5099,0.5099
6.04,2.58,0.4924,0.4924
5.99,2.63,0.5099,0.5099
5.94,2.63,0.5099,0.5099
5.89,2.63,0.5025,0.5025
5.84,2.63,0.4924,0.4924
5.79,2.63,0.4743,0.4743
5.74,2.63,0.461,0.461
5.69,2.68,0.5025,0.5025
5.64,2.68,0.5,0.5
5.59,2.68,0.5,0.5
5.54,2.68,0.5,0.5
5.49,2.68,0.5,0.5
5.44,2.68,0.5,0.5
5.39,2.68,0.5,0.5
5.34,2.68,0.5,0.5
5.29,2.68,0.5,0.5
5.24,2.68,0.5,0.5
5.19,2.68,0.5,0.5
5.14,2.63,0.45,0.45
5.09,2.63,0.45,0.45
5.04,2.63,0.45,0.45
4.99,2.63,0.45,0.45
4.94,2.63,0.45,0.45
4.89,2.63,0.45,0.45
4.84,2.63,0.45,0.45
4.79,2.58,0.4,0.4
4.74,2.58,0.4,0.4
4.69,2.58,0.4,0.4
4.64,2.58,0.4031,0.4031
4.59,2.58,0.4123,0.4123
4.54,2.58,0.4272,0.4272
4.49,2.58,0.4272,0.4272
4.44,2.53,0.4272,0.4272
4.39,2.53,0.4472,0.4472
4.34,2.53,0.4272,0.4272
4.29,2.48,0.4472,0.4472
4.24,2.48,0.4472,0.4472
4.19,2.48,0.4272,0.4272
4.14,2.43,0.461,0.461
4.09,2.38,0.4924,0.4924
4.04,2.38,0.4924,0.4924
3.99,2.33,0.4743,0.4743
3.94,2.33,0.4924,0.4924
3.89,2.33,0.4924,0.4924
3.84,2.28,0.5,0.5
3.79,2.28,0.5099,0.5099
3.74,2.23,0.5315,0.5315
3.69,2.23,0.522,0.522
3.64,2.18,0.559,0.559
3.59,2.18,0.5385,0.5385
3.54,2.13,0.5701,0.5701
3.49,2.13,0.559,0.559
3.44,2.13,0.5523,0.5523
3.39,2.08,0.6,0.6
3.34,2.03,0.6325,0.6325
3.29,2.03,0.6185,0.6185
3.24,2.03,0.6042,0.6042
3.19,1.98,0.6325,0.6325
3.14,1.93,0.6671,0.6671
3.09,1.93,0.6576,0.6576
3.04,1.93,0.6519,0.6519
2.99,1.93,0.65,0.65
2.94,1.88,0.6964,0.6964
2.89,1.88,0.6801,0.6801
2.84,1.88,0.6671,0.6671
2.79,1.88,0.6576,0.6576
2.74,1.88,0.6519,0.6519
2.69,1.88,0.65,0.65
2.64,1.88,0.65,0.65
2.59,1.83,0.65,0.65
2.54,1.83,0.65,0.65
2.49,1.83,0.65,0.65
2.44,1.83,0.65,0.65
2.39,1.83,0.65,0.65
2.34,1.83,0.65,0.65
2.29,1.83,0.65,0.65
2.24,1.83,0.65,0.65
2.19,1.83,0.65,0.65
2.14,1.83,0.65,0.65
2.09,1.88,0.65,0.65
2.04,1.88,0.6519,0.6519
1.99,1.88,0.6576,0.6576
1.94,1.88,0.6671,0.6671
1.89,1.88,0.6801,0.6801
1.84,1.88,0.6946,0.6946
1.79,1.93,0.6708,0.6708
1.74,1.93,0.6946,0.6946
1.69,1.93,0.6801,0.6801
1.64,1.93,0.6671,0.6671
1.59,1.98,0.7071,0.7071
1.54,1.98,0.6964,0.6964
1.49,2.03,0.7211,0.7211
1.44,2.08,0.7382,0.7382
1.39,2.13,0.7433,0.7433
1.34,2.18,0.7433,0.7433
1.29,2.18,0.7211,0.7211
1.24,2.23,0.7382,0.7382
1.24,2.28,0.75,0.75
1.19,2.33,0.7433,0.7433
1.19,2.38,0.7382,0.7382
1.14,2.43,0.7382,0.7382
1.14,2.48,0.7382,0.7382
1.09,2.53,0.75,0.75
1.09,2.58,0.7433,0.7433
1.09,2.63,0.728,0.728
1.04,2.68,0.7649,0.7649
1.04,2.73,0.7566,0.7566
0.99,2.78,0.7906,0.7906
0.94,2.83,0.7826,0.7826
0.94,2.88,0.8062,0.8062
0.89,2.93,0.7906,0.7906
0.84,2.98,0.781,0.781
0.79,3.03,0.7616,0.7616
0.74,3.08,0.728,0.728
0.69,3.13,0.6964,0.6964
0.64,3.18,0.6708,0.6708
0.59,3.23,0.6519,0.6519
0.54,3.28,0.6403,0.6403
0.49,3.33,0.6364,0.6364
0.44,3.38,0.6403,0.6403
0.39,3.43,0.6265,0.6265
0.34,3.43,0.6265,0.6265
0.29,3.48,0.6103,0.6103
0.24,3.53,0.6021,0.6021
0.19,3.58,0.6021,0.6021
0.14,3.63,0.5831,0.5831
0.09,3.68,0.5701,0.5701
0.04,3.73,0.559,0.559
-0.01,3.73,0.559,0.559
-0.06,3.78,0.5408,0.5408
-0.11,3.83,0.5315,0.5315
-0.16,3.88,0.5315,0.5315
